joint,axis,n_eval,positive_rate,auc_tactile,auc_shuffled_tactile,auc_pose_emb,auc_pose_emb_plus_tactile,auc_pose_emb_plus_shuffled,marginal_vs_pose,marginal_vs_pose_ci_low,marginal_vs_pose_ci_high,marginal_vs_shuffled,marginal_vs_shuffled_ci_low,marginal_vs_shuffled_ci_high
thumb_mcp,radial,6626,0.49230304859643825,0.5760055618293308,0.5123025127745647,0.5822048435812961,0.5972535505963165,0.580373591772371,0.015048707015020368,-0.0006781124166139489,0.031625461283408256,0.01687995882394544,-0.0030979180095790783,0.03697169045789927
thumb_mcp,spread,6626,0.48128584364624205,0.5781859612887734,0.5085525025881354,0.5822937682295108,0.5923555413470786,0.5782015626344305,0.01006177311756773,-0.005949807140450993,0.02677491908083784,0.014153978712648119,-0.0071821033734579265,0.03468176645588809
thumb_mcp,curl,6626,0.46619378207063084,0.6226629957203107,0.49164211696121285,0.6100343471636338,0.6234408797603982,0.6086753611385463,0.013406532596764387,-0.004276514787387786,0.03130569246973323,0.014765518621851936,-0.005544700656735091,0.03670216399378458
thumb_pip,radial,6626,0.5665559915484455,0.6971564592939306,0.46771113597677794,0.6780680922707514,0.6965333542086213,0.6617819358515262,0.018465261937869903,0.0035948218970338203,0.03351466172354117,0.034751418357095054,0.015959109735889918,0.052242211816415446
thumb_pip,spread,6626,0.44521581648053127,0.7426996920012541,0.49673134025562055,0.7318180225373931,0.7532898692388559,0.7286404714040686,0.021471846701462738,0.005739094606501927,0.03682169448796376,0.024649397834787257,0.007717472490326241,0.04355437647262381
thumb_pip,curl,6626,0.41050407485662543,0.6936157796451914,0.4793856924490226,0.6764699293695973,0.6915411998132586,0.666741118490407,0.0150712704436613,-0.003124515637067065,0.034397563296192896,0.024800081322851608,0.0036006288702061994,0.045285734743177736
thumb_dip,radial,6626,0.5584062782976155,0.7149761689235373,0.4788475180580444,0.702183591657276,0.7203192255823836,0.691835547098705,0.01813563392510764,0.003380114859464498,0.033563377276619635,0.02848367848367861,0.013048771161219297,0.04622443609873019
thumb_dip,spread,6626,0.4667974645336553,0.6934725372129886,0.481375317785685,0.6933090058731268,0.7047236215117928,0.6842792756559122,0.01141461563866597,0.0001065338018037933,0.02341327497304834,0.02044434585588062,0.006355512679484032,0.03389404126695654
thumb_dip,curl,6626,0.40778750377301537,0.7249075891230191,0.4722004352120338,0.7092637612792577,0.735594824990889,0.6990779095939051,0.026331063711631297,0.011174616299549342,0.04283725195879696,0.03651691539698387,0.01951758008283378,0.05515255181149413
thumb_tip,radial,6626,0.5292785994566858,0.6649445578224762,0.49338294966883894,0.6610071205548413,0.6764145871221876,0.6523326726293669,0.015407466567346262,0.0008752256856979335,0.031736983198504445,0.02408191449282071,0.008042669757108179,0.04239805017516026
thumb_tip,spread,6626,0.4971325083006339,0.6442515075246856,0.47944988560087065,0.6591525499088525,0.6566938250710121,0.6445540875730985,-0.002458724837840376,-0.016932442487131872,0.011058737709617714,0.012139737497913639,-0.0061484707324370004,0.02927317003721524
