joint,axis,n_eval,positive_rate,auc_tactile,auc_shuffled_tactile,auc_pose_emb,auc_pose_emb_plus_tactile,auc_pose_emb_plus_shuffled,auc_pose_raw,auc_pose_raw_plus_tactile,marginal_vs_pose,marginal_vs_pose_ci_low,marginal_vs_pose_ci_high,marginal_vs_shuffled,marginal_vs_shuffled_ci_low,marginal_vs_shuffled_ci_high,marginal_vs_raw_pose,marginal_vs_raw_pose_ci_low,marginal_vs_raw_pose_ci_high
thumb_mcp,radial,11425,0.5029321663019694,0.5564283309512816,0.5059376307592527,0.5483058504083811,0.5654994337685749,0.5488827157190955,0.5919072024012111,0.6033518988105188,0.01719358336019383,0.0018458328409868192,0.03448993846185604,0.016616718049479395,-0.0013772775044434552,0.036140633874439665,0.011444696409307675,0.0013501755266300264,0.02258865513655579
thumb_mcp,spread,11425,0.47824945295404814,0.5647346171294478,0.5021024900015056,0.5477965855660623,0.5646931997957441,0.546603926007089,0.5876058889860718,0.6018284908518352,0.016896614229681806,0.004278449029388496,0.03005040072988946,0.018089273788655102,0.002928915955799888,0.03328128049260583,0.014222601865763407,0.0030333771219183043,0.026088865756014143
thumb_mcp,curl,11425,0.4682713347921225,0.601878112380293,0.5002360216914734,0.6025475635552479,0.6197399484635207,0.5971464174454828,0.6209047959693857,0.6433843006038229,0.017192384908272795,0.0005506022951401403,0.034339742512263564,0.02259353101803785,0.0052208898315078195,0.04184270073755453,0.022479504634437153,0.007745951947534915,0.038993162393070706
thumb_pip,radial,11425,0.5537855579868709,0.6342182243361241,0.4857482764092167,0.6377634680787619,0.6453760754208814,0.62948095005042,0.6772210462821848,0.6992524208460282,0.007612607342119437,-0.003624185766627752,0.01840101745885141,0.015895125370461338,0.003982094357896007,0.027687806718190287,0.02203137456384341,0.009434619879413342,0.034381384695660815
thumb_pip,spread,11425,0.46293216630196937,0.6966057754859103,0.5040576454095398,0.6899872814182495,0.7087655235349843,0.6883251085929494,0.6952366698934568,0.7260204384736914,0.018778242116734845,0.00786951244748892,0.03182516616445863,0.020440414942034968,0.007748407192425044,0.03444635425901622,0.030783768580234572,0.01723278860603481,0.044698933907900036
thumb_pip,curl,11425,0.43413566739606124,0.6480772397275654,0.49455133722525757,0.6445427300850735,0.6592319998503107,0.6378185889279744,0.6557645073971509,0.6903085160791358,0.014689269765237212,-0.0002512068875466955,0.02927876991684281,0.021413410922336285,0.0061035740846799025,0.03791264842391375,0.03454400868198493,0.021864871056372383,0.04902480725738948
thumb_dip,radial,11425,0.5527352297592998,0.6656268970999066,0.5010269401744364,0.6558596390106493,0.67485652927751,0.6549594123270627,0.6307549353649636,0.6755297314969329,0.0189968902668608,0.007052798187033429,0.03189691483175804,0.01989711695044738,0.008170178551638757,0.03220001453501489,0.04477479613196922,0.03058268208761312,0.058900178699126476
thumb_dip,spread,11425,0.47956236323851203,0.6556896414018065,0.46511000292404714,0.6615957500819416,0.670728286647725,0.6513281577146193,0.6702332920602513,0.6927800407475763,0.009132536565783389,0.00016975177659654407,0.017454066880002284,0.01940012893310572,0.007656428162616286,0.030936498147059156,0.02254674868732498,0.009505087556386117,0.03536007415900072
thumb_dip,curl,11425,0.42196936542669583,0.678028508427256,0.5026446795270691,0.6729269445167901,0.6951851134327897,0.6710512545368907,0.636762700687018,0.6898950319688331,0.02225816891599952,0.01097814454708947,0.03423095344743949,0.02413385889589892,0.011816389152958216,0.03699772152502659,0.05313233128181505,0.03504005360430884,0.07087231311308859
thumb_tip,radial,11425,0.5189496717724289,0.6332280972586082,0.4965657723625738,0.6378251939557447,0.6518776408755426,0.6351512671906251,0.6251316525022077,0.654420099267828,0.0140524469197979,0.0033815566593005443,0.02570416871183218,0.016726373684917473,0.005448535252961778,0.028622328478023217,0.029288446765620257,0.017967326971509035,0.04077526521592356
thumb_tip,spread,11425,0.5015317286652079,0.6053402528472512,0.46812384029958,0.6240953838752035,0.6248130765942386,0.6112407779396826,0.6349519112169365,0.6464242691684785,0.0007176927190351012,-0.009715133774163682,0.009819014602532232,0.013572298654556003,0.0002375916983226395,0.024971916939106668,0.011472357951542,-0.000395614174968778,0.022899191796805253
thumb_tip,curl,11425,0.4551422319474836,0.6730204510349088,0.5032111831943158,0.669322891566265,0.687170188446092,0.6652751312944084,0.6322148903305529,0.6813497374111832,0.017847296879827,0.0069735573149224545,0.028521695347440305,0.021895057151683606,0.011371374129609705,0.03360443968905761,0.04913484708063032,0.0324521416897301,0.0647641608250031
index_mcp,radial,11425,0.40533916849015317,0.5570318215540316,0.5099875682603072,0.5455456365369191,0.5604002528174827,0.5468273954936422,0.5899187534925929,0.5992526018009591,0.014854616280563615,0.0007748837227376295,0.028971528310694397,0.013572857323840504,-0.002043098985544161,0.030177001030783,0.009333848308366144,-0.0018988886058121934,0.02163941832693284
index_mcp,spread,11425,0.5136105032822758,0.5398250749283714,0.5054143284709166,0.5395125794900688,0.5552357920682954,0.5378887992189515,0.5747411194561807,0.5835632428820041,0.01572321257822662,0.004882882263428767,0.026517600151771903,0.017346992849343934,0.0025813306272702537,0.03143525378131611,0.008822123425823447,-0.003558970148065474,0.022231643183225073
index_mcp,curl,11425,0.43711159737417943,0.6939761705649952,0.4925423803541703,0.6913126104302928,0.7100665410528086,0.688460735373507,0.6797638117381348,0.7213008588069639,0.018753930622515846,0.00572286416885231,0.03303785686528837,0.021605805679301593,0.007475306280583116,0.03660531141598458,0.0415370470688291,0.02632043468957044,0.05845670907178094
index_pip,radial,11425,0.44927789934354484,0.6925453626479077,0.5073400378910182,0.6804258782501171,0.7004381172199036,0.6802710952862381,0.6599986760312991,0.7086902568412584,0.020012238969786433,0.00940953196012476,0.031128791166340684,0.020167021933665485,0.008887353752662863,0.03261855255718579,0.04869158080995928,0.031357954552503245,0.06557015982524343
index_pip,spread,11425,0.4877024070021882,0.6298172478658456,0.497291901159651,0.629357614020163,0.6413950534199395,0.6253358945271867,0.6163342155604853,0.6449475109800056,0.012037439399776528,-0.0005203595426669648,0.024549175771655694,0.01605915889275278,0.00185894464208638,0.030918138184799576,0.02861329541952029,0.015063420106905942,0.042671045647600145
index_pip,curl,11425,0.4962800875273523,0.5900944964657678,0.5104864261887141,0.6041426441542282,0.6128279220430972,0.6011993251784737,0.6113202996550811,0.6271091007436215,0.00868527788886897,-0.003763979196681283,0.020397398161012575,0.011628596864623475,-0.0017892082939298837,0.02431672872902187,0.015788801088540416,0.0022425833967261006,0.02820684711716766
index_dip,radial,11425,0.472910284463895,0.688065070557195,0.49701593878156547,0.670507171772475,0.6892159189517515,0.6687771649549775,0.6347743510392181,0.6867887952084876,0.018708747179276508,0.00824618066360353,0.030091333092819098,0.020438753996773973,0.00873761219855623,0.03344893419064124,0.05201444416926948,0.0342773276858529,0.06963368616999357
index_dip,spread,11425,0.4811378555798687,0.5992189151388428,0.5047433552886288,0.6022935587243392,0.6157126068273776,0.6023908391204429,0.5946612211740081,0.6198217368963612,0.0134190481030384,-0.001073655218183367,0.028203368369240162,0.013321767706934717,-0.0018251253480456447,0.02787382771670462,0.025160515722353116,0.011278745405077612,0.03899904203107025
index_dip,curl,11425,0.5209628008752735,0.5827194018436548,0.5222728904750398,0.5904952636500985,0.6019457812447813,0.5942318068268666,0.5854040436040858,0.6001984755564462,0.011450517594682741,0.002411408655437017,0.020286520004664178,0.00771397441791466,-0.003690350900714298,0.019006464816118146,0.01479443195236041,0.0012518825716714645,0.027395925482896422
index_tip,radial,11425,0.48288840262582056,0.6629390672690272,0.49215304722560616,0.6475733772475769,0.6578818237566681,0.6449103460480188,0.6219974476625396,0.6656959795223946,0.01030844650909124,-0.00047597754208476823,0.021351300778019965,0.01297147770864937,0.0012433684940254181,0.024828184110243626,0.04369853185985495,0.029174350748063304,0.05893198836516441
index_tip,spread,11425,0.4874398249452954,0.5628114184983815,0.5083850871873672,0.5692781051821805,0.5840964865026637,0.5708404717959588,0.5675176830267474,0.5873930273165171,0.014818381320483187,0.0005986878117430986,0.028832827253494064,0.0132560147067049,-0.0027561087754038897,0.028438965630628237,0.01987534428976967,0.007220903111882721,0.03282775110162249
index_tip,curl,11425,0.5334792122538293,0.5849626381541786,0.5112277618138079,0.5938741963932543,0.5967374297204826,0.5950138134939752,0.5819996398487365,0.6024192930261478,0.002863233327228265,-0.007948260776768981,0.012869926061793643,0.0017236162265074073,-0.012111075346805852,0.015187413574985351,0.020419653177411345,0.0052595748149984,0.03564575640316313
middle_mcp,radial,11425,0.004113785557986871,0.7795540479387246,0.4782858296899953,0.7722499186560103,0.8062348765628331,0.7635096472101816,0.7621146445361149,0.8353616348084957,0.033984957906822766,-0.01664975126170716,0.09919117848832845,0.04272522935265155,-0.004185663748756948,0.10324395152733087,0.0732469902723808,0.0032663501074246437,0.1738709514858136
middle_mcp,spread,11425,0.5244638949671773,0.5422201993602366,0.5046757846587032,0.544016323869583,0.5597644825900759,0.54133092236363,0.5789869958521295,0.5862747667483266,0.015748158720492955,0.004118096179322223,0.026761678603133655,0.018433560226445933,0.0037270854880781914,0.032279674753174274,0.007287770896197032,-0.004763589691004444,0.02019833042571182
middle_mcp,curl,11425,0.4346608315098468,0.7087564692112588,0.4972147185471829,0.7119216368784123,0.730120758610167,0.7093178964535868,0.6960867261677284,0.7350903624130074,0.018199121731754753,0.005498308704959135,0.03149878030655034,0.020802862156580226,0.00812850306056633,0.035242687130447224,0.03900363624527903,0.02344657037498442,0.05498256758302026
middle_pip,radial,11425,0.437636761487965,0.6883164824902723,0.4939491050583658,0.6842897120622567,0.6984356420233464,0.6806988326848249,0.6571396731517509,0.7034028949416342,0.014145929961089654,0.002330292881184082,0.025950858311530427,0.01773680933852151,0.004755531092685775,0.03046257649605796,0.04626322178988329,0.02986824426203619,0.06284308052595568
middle_pip,spread,11425,0.5156236323851203,0.562937761577218,0.48214761272378825,0.5698464890149608,0.5721919840357262,0.5610006001694314,0.6092975220174085,0.617188004684794,0.00234549502076542,-0.013742359262627684,0.018170658204265153,0.011191383866294813,-0.006328541111262667,0.029283833809609562,0.007890482667385457,-0.0016010555485129999,0.017723395866834638
middle_pip,curl,11425,0.49803063457330415,0.561211290092746,0.5045035034467542,0.5699420356917948,0.5997762942374314,0.566830840137717,0.5805413373007908,0.601589996368612,0.029834258545636594,0.015366909069625406,0.04433168957480684,0.03294545409971439,0.01775399905602506,0.047734111724415565,0.021048659067821163,0.00483820450405264,0.037243802894835684
middle_dip,radial,11425,0.4610065645514223,0.7016596007681525,0.48646961573199343,0.6954109469557831,0.7119603063261708,0.6913109519690119,0.6567132592752598,0.7113717606478547,0.016549359370387706,0.00614132966385412,0.027166168372411172,0.020649354357158867,0.00918528318451384,0.03267175083286677,0.05465850137259487,0.03774879639281664,0.0720511147074466
middle_dip,spread,11425,0.5139606126914661,0.6029837689915017,0.4934527989142035,0.6131958337074837,0.6159604978235493,0.6080448266420537,0.6296049622881021,0.6421466340456665,0.002764664116065685,-0.008806423422134182,0.01497432450724544,0.00791567118149561,-0.007201456601144581,0.023090504387810632,0.012541671757564377,-0.0012056906978755416,0.025911039168110692
middle_dip,curl,11425,0.5207877461706784,0.5872868731054066,0.5106418633206707,0.5951965926096466,0.6255569318138214,0.5951947200798127,0.5599549364951459,0.6040807950577491,0.030360339204174802,0.016727330357544458,0.04335532160559462,0.03036221173400877,0.017188707666676,0.044086318386572454,0.044125858562603204,0.027559324588123962,0.06134661096698523
middle_tip,radial,11425,0.4711597374179431,0.6753630524774779,0.48559286185628703,0.6766317430103954,0.68745529082662,0.671384431833073,0.6436115991084269,0.6904687190902152,0.010823547816224632,0.0006167490120449872,0.02167828986274668,0.0160708589935471,0.005084028170036251,0.028128792348630905,0.04685711998178832,0.030869277634029836,0.06329332484159556
middle_tip,spread,11425,0.5085339168490153,0.6213263280829717,0.48981695513768597,0.6149212752294,0.6252728200679578,0.6105587290007249,0.6264978090711657,0.6480801210183567,0.010351544838557825,-0.0013144065715176593,0.021469056263338084,0.01471409106723287,0.00044651043008633043,0.02779400617118371,0.021582311947190957,0.0066150987830376155,0.036595789722454704
middle_tip,curl,11425,0.5232385120350109,0.5901301836001942,0.5135397626804065,0.6038463166117389,0.6215931704297558,0.603588041409776,0.5639927638720348,0.6039023939623673,0.017746853818016883,0.005579020072701194,0.02984417756621736,0.01800512901997986,0.004657776241977654,0.03131465687710279,0.03990963009033255,0.02265629819538469,0.057366134731793174
ring_mcp,radial,11425,0.3985995623632385,0.6031623493546003,0.5117806874117266,0.5923641635518269,0.6165527248592179,0.5898578464656435,0.6007416811742491,0.6252744679908626,0.024188561307391,0.012881573001703714,0.03595276621424428,0.026694878393574317,0.011881740639306245,0.04046299839357053,0.024532786816613528,0.009113635792967464,0.04084969500077168
ring_mcp,spread,11425,0.529890590809628,0.5410229919183871,0.503936611703629,0.5384640082489764,0.5548831078230512,0.5365276712405948,0.5798124703646208,0.5869892681253809,0.016419099574074725,0.005272555581960775,0.027134607652185134,0.01835543658245642,0.003541075304249386,0.03255743036425746,0.007176797760760079,-0.004720320364329241,0.019556666332710044
ring_mcp,curl,11425,0.4406126914660832,0.7209771550639192,0.5010604155239908,0.7181053983903044,0.7407334397727436,0.7165527891794101,0.7017059771988904,0.7428174068035062,0.022628041382439235,0.010019855314568485,0.03565562350594308,0.02418065059333352,0.011329004556535377,0.038147229831724465,0.04111142960461578,0.02534284585780616,0.05683814440390455
ring_pip,radial,11425,0.4187308533916849,0.6870215064620864,0.5104217290078508,0.6795508443292629,0.6965549598395293,0.6784537274526996,0.6711937321564276,0.7092883898997765,0.01700411551026637,0.0060888479770662505,0.027472461412518284,0.018101232386829702,0.006336927672893811,0.029788980652644934,0.03809465774334886,0.02254382201648381,0.05478815647123983
ring_pip,spread,11425,0.5475711159737418,0.6636336951697583,0.5079108424262485,0.6544254949954951,0.6696768161957054,0.6548607204369548,0.671182911454723,0.7016510425866579,0.015251321200210333,0.002494683129714845,0.02810921820381259,0.014816095758750647,0.001412526543647813,0.02926335572717562,0.030468131131934917,0.017762684918795242,0.04327095009355192
ring_pip,curl,11425,0.4812253829321663,0.6403565742850614,0.4736708711906098,0.6196804973423776,0.6474141278608421,0.6142684951375481,0.5978691394014591,0.6518638340380289,0.027733630518464447,0.014356119847096926,0.04149725293264931,0.03314563272329396,0.01899858888514163,0.047206537313571266,0.05399469463656981,0.03759808800865179,0.07148560421689566
ring_dip,radial,11425,0.44971553610503284,0.6947494576753344,0.5066969209852605,0.6828753692503943,0.70531885260279,0.6818103468184579,0.6691073779000989,0.7098471559848762,0.022443483352395766,0.012228243758631564,0.033042502922898724,0.023508505784332168,0.012978190662495604,0.0348465617913157,0.040739778084777356,0.023054625619548453,0.05687552933256929
ring_dip,spread,11425,0.5324288840262582,0.674749485973178,0.4923991978430415,0.6587963903552339,0.6789810097962832,0.6550433344598523,0.6747513939363576,0.7069507960299348,0.020184619441049323,0.009482176865999578,0.03281133580088604,0.023937675336430875,0.01192044642806718,0.037963430616738736,0.03219940209357719,0.018840712153201978,0.04679409676972
ring_dip,curl,11425,0.5101969365426696,0.6012189980564752,0.4810591860887326,0.6006822570492782,0.6274264170017773,0.5930476159293743,0.5671911878334781,0.6172246590370225,0.026744159952499014,0.013904090326414459,0.03858939521047963,0.03437880107240299,0.020607631181613188,0.04746552606146547,0.0500334712035444,0.03318665595411506,0.06707625214034685
ring_tip,radial,11425,0.4741356673960613,0.666769856055565,0.49452729570836196,0.657003018804292,0.6774348250698656,0.652099028874675,0.6335538523860992,0.6775267583656226,0.020431806265573615,0.008846424763326045,0.03188098501347414,0.025335796195190663,0.01297653892327921,0.0376109804814034,0.04397290597952341,0.027552344079041828,0.05895133751726064
ring_tip,spread,11425,0.5150984682713348,0.6502001969149984,0.49744636213342985,0.6337646957785963,0.6531605163957808,0.6289562584923427,0.6246787248987054,0.6591461189035331,0.019395820617184478,0.008545438799649299,0.03149464686047161,0.024204257903438053,0.012472636439123918,0.037049983181617334,0.03446739400482779,0.021242195078473525,0.047488986904636224
ring_tip,curl,11425,0.5213129102844639,0.5994634450405552,0.4823497198508573,0.6121221314445754,0.6270229565481784,0.6045491954714901,0.5707879603715478,0.6182194752743376,0.014900825103603021,0.0025206740011804118,0.02809205026490675,0.022473761076688303,0.009860000477494177,0.03656553485290318,0.04743151490278985,0.031513785693228484,0.06303776537215992
pinky_mcp,radial,11425,0.44428884026258203,0.5721261428585082,0.5033312208533303,0.5727785975739247,0.5921685451231066,0.5687917880380757,0.5948586059543389,0.6076941250590644,0.019389947549181885,0.007145060982892718,0.031478109815120135,0.02337675708503084,0.007866094399923616,0.03764698565428687,0.012835519104725468,-0.0034988535520686973,0.029600770665591525
pinky_mcp,spread,11425,0.5363676148796499,0.5382913551244091,0.49985822557820064,0.5344478881341279,0.5506762843246904,0.5319622762970911,0.5782861598096563,0.5841780238185958,0.01622839619056249,0.004491187943317395,0.02730568300050885,0.01871400802759926,0.0035503132275545995,0.034266807123142555,0.005891864008939596,-0.005153078373512249,0.017469778122970625
pinky_mcp,curl,11425,0.4527789934354486,0.7161451154111257,0.5004445668049282,0.7083317718766879,0.7288418914143878,0.7059676028356794,0.6893977650329935,0.7329484914720967,0.020510119537699878,0.011060604805220298,0.030765366439169477,0.022874288578708435,0.012107167602551146,0.03477229526061808,0.04355072643910318,0.030106661039125116,0.05848084587646954
pinky_pip,radial,11425,0.4250328227571116,0.6938953130411601,0.5140991284258372,0.689952031194395,0.703689424868391,0.6899527208698036,0.681813798674469,0.7191860237654623,0.013737393673996068,0.003759591028220999,0.02525716985216981,0.013736703998587396,0.004096235796960196,0.025239385524581416,0.03737222509099325,0.02306733968996448,0.052664745584825264
pinky_pip,spread,11425,0.5603501094091904,0.6467937272986624,0.5146117923157972,0.6549305870285036,0.6661850955769036,0.6534193879662455,0.6487489320447404,0.6749540989921836,0.011254508548400044,-0.000123259634559139,0.0227715382558577,0.012765707610658095,0.0006311836100531044,0.025177728058131437,0.026205166947443237,0.008996008484222037,0.04418291265573948
pinky_pip,curl,11425,0.4698468271334792,0.685305635951752,0.5045240852733606,0.6762096090616541,0.6953441190951238,0.6732732717770352,0.6436209155103023,0.6917849112024933,0.019134510033469776,0.009199785741935756,0.029911475882677153,0.022070847318088616,0.010569537348766925,0.033826827229042095,0.048163995692190986,0.03305825384820384,0.06254745581450263
pinky_dip,radial,11425,0.44175054704595185,0.6955663175681364,0.5297613222786398,0.6964506358946505,0.7120937443285547,0.6997804830268104,0.6801355437004419,0.7167489195168427,0.01564310843390415,0.0067957493860305645,0.02539890731790403,0.01231326130174426,0.003259726697092055,0.022140391108661492,0.036613375816400784,0.022750279987749342,0.051350407416281316
pinky_dip,spread,11425,0.5541356673960612,0.6569966853450502,0.5026761455788962,0.6581239061666573,0.6723308947062947,0.6556237289579814,0.6462645062277921,0.6794079239533851,0.014206988539637422,0.004753730992253111,0.024257895579930074,0.016707165748313324,0.00494964133149742,0.02866466813539826,0.03314341772559304,0.017292903913376543,0.04961774674582627
pinky_dip,curl,11425,0.4841137855579869,0.6703916482212083,0.5056167977424587,0.6642040786001987,0.6821469047243789,0.6616638109156417,0.624607013423492,0.6760079244866994,0.01794282612418019,0.006266954794008051,0.029370969597436573,0.02048309380873714,0.0061081099604873125,0.03491980582879527,0.05140091106320743,0.03592687527231135,0.06766157524091468
pinky_tip,radial,11425,0.45759299781181617,0.6621956177675132,0.5067137034369742,0.6664675283434898,0.679275234863872,0.6659476800915219,0.6558796868292393,0.6855365943908245,0.012807706520382212,0.0033476491466230274,0.022165279521965116,0.013327554772350036,0.002993724646245441,0.024365283896244098,0.029656907561585233,0.015638279871814625,0.044159643222968725
pinky_tip,spread,11425,0.5283150984682713,0.6355233478205425,0.5123575058586443,0.6411413070411576,0.6478213357327428,0.6391246754642553,0.6351810581430081,0.6604162370368621,0.006680028691585238,-0.004283826810082175,0.01730154377621819,0.008696660268487477,-0.004239118379572993,0.02041858290212306,0.02523517889385407,0.010962954593196548,0.040061930616043386
pinky_tip,curl,11425,0.5083588621444202,0.6318183289512209,0.5110128160233764,0.6275505818866477,0.6414560947654478,0.6253901171228036,0.5993823600237571,0.6400586680732585,0.013905512878800153,0.0019916337713464633,0.025801780725968906,0.01606597764264428,0.0014946135352325504,0.030458649035818335,0.0406763080495014,0.026486470443662917,0.05612918698178021
